Order ID,AWB ID,Courier,SKU,Qty,Status,Scanned Time
193220329484614784_1,1490817311729071,Delhivery,Slay Queen 50 ML,1,Pending,
193357575138547200_1,1490817318857963,Delhivery,Slay Queen 50 ML,1,Pending,
193280499321704128_1,1490817313882912,Delhivery,Together,1,Pending,
193400069512264832_1,1490817320025762,Delhivery,Together Combo 2 pcs,1,Pending,
193297626920849984_1,1490817314314392,Delhivery,Vibrant And Vibes,1,Pending,
193288551553597186_1,SF2037796336FPL,Shadowfax,Vibrant And Vibes,1,Pending,
193333707707285248_1,VL0082054364681,Valmo,Divine Aura,1,Pending,
193372051682826432_1,VL0082054767102,Valmo,Divine Aura,1,Pending,
193274593003205632_1,VL0082053126445,Valmo,Mystic Aura,1,Pending,
193245727073537728_1,VL0082052675001,Valmo,Together,1,Pending,
193271280990977792_1,VL0082053086797,Valmo,Together,1,Pending,
193273950519721088_1,VL0082053086798,Valmo,Together,1,Pending,
193287233247149184_1,VL0082053403864,Valmo,Together,1,Pending,
193291974101466880_1,VL0082053403863,Valmo,Together,1,Pending,
193344079374873600_1,VL0082054364682,Valmo,Together,1,Pending,
193388847769000064_1,VL0082055201175,Valmo,Together,1,Pending,
193304455230291712_1,VL0082053546944,Valmo,Together Combo 2 pcs,1,Pending,
193364249447534276_1,VL0082054767101,Valmo,Together Combo 2 pcs,1,Pending,
193368908328311296_1,VL0082054767103,Valmo,Vibrant,1,Pending,
193303897929127424_1,VL0082053546945,Valmo,Vibrant And Vibes,1,Pending,
